segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_18,0,0,1,l,1720308469256344.0,1720308472820909.0,4622,5344,1720308469305374.0,1720308472820405.0,722,False,next_label_timestamp,data/user_18/0/0_ring_0.bin,data/user_18/0/0_timestamp.txt
1,user_18,0,0,2,t,1720308472820909.0,1720308476392009.0,5344,6048,1720308472877882.0,1720308476347652.0,704,False,next_label_timestamp,data/user_18/0/0_ring_0.bin,data/user_18/0/0_timestamp.txt
2,user_18,0,0,3,f,1720308476392009.0,1720308479933130.0,6048,6771,1720308476406758.0,1720308479924154.0,723,False,next_label_timestamp,data/user_18/0/0_ring_0.bin,data/user_18/0/0_timestamp.txt
3,user_18,0,0,4,j,1720308479933130.0,1720308483265390.0,6771,7435,1720308479977898.0,1720308483217488.0,664,False,next_label_timestamp,data/user_18/0/0_ring_0.bin,data/user_18/0/0_timestamp.txt
4,user_18,0,0,5,b,1720308483265390.0,1720308485352321.0,7435,7855,1720308483293906.0,1720308485310791.0,420,False,next_label_timestamp,data/user_18/0/0_ring_0.bin,data/user_18/0/0_timestamp.txt
5,user_18,0,0,6,x,1720308485352321.0,1720308487792890.0,7855,8339,1720308485378539.0,1720308487726899.0,484,False,next_label_timestamp,data/user_18/0/0_ring_0.bin,data/user_18/0/0_timestamp.txt
6,user_18,0,0,7,e,1720308487792890.0,1720308489837343.0,8339,8759,1720308487821754.0,1720308489819385.0,420,False,next_label_timestamp,data/user_18/0/0_ring_0.bin,data/user_18/0/0_timestamp.txt
7,user_18,0,0,8,u,1720308489837343.0,1720308491997257.0,8759,9182,1720308489858374.0,1720308491926449.0,423,False,next_label_timestamp,data/user_18/0/0_ring_0.bin,data/user_18/0/0_timestamp.txt
8,user_18,0,0,9,n,1720308491997257.0,1720308494522632.0,9182,9704,1720308492004811.0,1720308494515175.0,522,False,next_label_timestamp,data/user_18/0/0_ring_0.bin,data/user_18/0/0_timestamp.txt
9,user_18,0,0,10,m,1720308494522632.0,1720308497363273.0,9704,10267,1720308494539462.0,1720308497349351.0,563,False,next_label_timestamp,data/user_18/0/0_ring_0.bin,data/user_18/0/0_timestamp.txt
