epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3
1,0.1,0.001,0.010000000000000002,2.5086487935865605,0.0002752789339039029,0.008142593192504061,2.7527894706887787e-07,8.142592999597261e-05,2.508730496473854,3.2567814654611356e-05,0.08333333333333333,2.4968278408050537,0.08959631510881007,0.0005873631080309578,0.0032128178406652945,5.873630800285791e-07,3.2128175005991627e-05,3.2354957989228576e-05,6.555661126411919e-06,0.0003585881290650584,0.0003611192932425308,0.000177114365553073,3.531020438724771e-05,0.0006134122155852
2,0.2,0.002,0.020000000000000004,2.4737766700028962,0.00026197737521049526,0.007445703852094594,5.239547798269423e-07,0.0001489140721788973,2.473926120698965,6.0408859365040936e-05,0.08333333333333333,2.4945881366729736,0.04813793484258072,0.0003479798133672087,0.0029486739395150298,6.959596780304351e-07,5.897346736642642e-05,5.929208645817864e-05,1.445761394431112e-05,0.0012250934228749061,0.0012317123003318256,0.0001811098353256008,3.069267676877324e-05,0.0005741296078578574
3,0.3,0.003,0.03,2.4622677476393786,0.0002601994919869568,0.00721095838438136,7.805984912853082e-07,0.00021632874343246094,2.462484880076423,8.81745464651003e-05,0.08333333333333333,2.4937000274658203,,,,,,,,,,0.00018365313536439432,3.0168289906367748e-05,0.0005667770544220108
4,0.4,0.004,0.04000000000000001,2.4464447112584073,0.0002716986313999251,0.007316941631037787,1.0867945653607422e-06,0.0002926776627749493,2.4467385927288956,0.00012007811007885108,0.08333333333333333,2.4942312240600586,,,,,,,,,,0.00018439497549720783,3.1260619855288695e-05,0.0005994402658612677
5,0.5,0.005,0.05,2.4340297753141997,0.0002783996112349727,0.007691238019390997,1.3919979798774937e-06,0.0003845619087639664,2.434415697025555,0.0001585658115846272,0.08333333333333333,2.494528293609619,0.05052658770626816,0.0005610270210445594,0.0023647122708152076,2.8051349273526277e-06,0.00011823562109025633,0.00011926091974122451,5.551799665673113e-05,0.002340067407235348,0.0023603596671625104,0.00018518734661715584,3.233544192162283e-05,0.0006176760450659541
6,0.6,0.006,0.06,2.4264023948249225,0.00028220895309523776,0.0076926490756812895,1.6932537381200837e-06,0.0004615589321900332,2.426865602729653,0.00019092141802867752,0.08333333333333333,2.4943065643310547,,,,,,,,,,0.000186864340410563,3.283840705614165e-05,0.0006269241116937769
7,0.7,0.006999999999999999,0.06999999999999999,2.417170247604843,0.00028929878480086444,0.007972294038318726,2.0250915507868127e-06,0.0005580605838845345,2.4177302903849984,0.00023171130622276452,0.08333333333333333,2.4894094467163086,,,,,,,,,,0.0001888261095746124,3.332232365848756e-05,0.0006457479451638735
8,0.8,0.008,0.08000000000000002,2.4035735146724417,0.00030988677941413403,0.008553975264953767,2.479094392597736e-06,0.0006843180098713548,2.4042603616665232,0.0002857400034038688,0.1111111111111111,2.4596216678619385,,,,,,,,,,0.0001917634502811864,3.577360804258844e-05,0.0007021232726927623
9,0.9,0.009000000000000001,0.09000000000000001,2.3954668069665486,0.0003486163971184035,0.009647297263369862,3.1375474672837526e-06,0.0008682568011350174,2.3963381743472127,0.00036376807479364485,0.11805555555555557,2.442018747329712,,,,,,,,,,0.00019491373274492166,4.0149352380483115e-05,0.0008107861201649551
10,1.0,0.01,0.1,2.3828465708767075,0.00035076797774531227,0.009912488377763666,3.507679726953469e-06,0.000991248871318406,2.3838412540094374,0.00041746563257715933,0.10416666666666667,2.4557056427001953,0.05279559131110005,0.0004962588369364584,0.002909392272162316,4.9625878411790644e-06,0.000290939223613931,0.00029299400685246346,9.399625457240974e-05,0.005510672698020569,0.005549592296939815,0.00019754028982597462,3.9491252186219246e-05,0.0008152724092821438
11,1.0,0.01,0.1,2.3642662388117097,0.00035865464685673113,0.009917725441839527,3.5865463931074283e-06,0.0009917725688495741,2.3652615177857075,0.00042100128103294887,0.09722222222222222,2.4541728496551514,,,,,,,,,,0.00020075904125493602,4.0408809497472977e-05,0.0008347960430531636
12,1.0,0.01,0.1,2.352142201848777,0.00037524368086582925,0.010442747709641102,3.75243682137713e-06,0.001044274778858712,2.3531901856913215,0.000445562863867815,0.1111111111111111,2.444270133972168,,,,,,,,,,0.00020453568193107754,4.295186742908993e-05,0.0008782435130865333
13,1.0,0.01,0.1,2.3348726393228554,0.0003698752131958279,0.010560501227395772,3.6987520445466024e-06,0.0010560501546986888,2.3359323138829557,0.00045387867796102863,0.10615079365079365,2.4549474716186523,,,,,,,,,,0.0002085744030763621,4.255855933502806e-05,0.0008584926623799766
14,1.0,0.01,0.1,2.320859794977815,0.00037326315588601534,0.010687973195600376,3.7326314418781585e-06,0.0010687973454078458,2.321932296129184,0.0004621261392741633,0.10615079365079365,2.4550321102142334,,,,,,,,,,0.00021263056092257589,4.2800030272272485e-05,0.000864358846376299
