user,action,label,valid,pad,source_trial,sample_id,y,cv_fold,split
user_0,0,J,72,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_24,8,3,train
user_0,0,B,128,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_25,1,3,train
user_0,0,X,106,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_26,11,3,train
user_0,0,E,122,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_27,4,3,train
user_0,0,G,124,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_31,5,3,train
user_0,0,C,85,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_35,2,3,train
user_0,0,I,59,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_37,7,3,train
user_0,0,D,110,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_38,3,3,train
user_0,0,H,128,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_39,6,3,train
user_0,0,A,120,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_42,0,3,train
user_0,0,K,129,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_44,9,3,train
user_0,0,C,78,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_72,2,3,train
user_0,0,G,121,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_74,5,3,train
user_0,0,J,72,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_76,8,3,train
user_0,0,D,110,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_78,3,3,train
user_0,0,E,121,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_81,4,3,train
user_0,0,H,129,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_82,6,3,train
user_0,0,B,132,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_83,1,3,train
user_0,0,L,81,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_84,10,3,train
user_0,0,A,130,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_85,0,3,train
user_0,0,K,119,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_86,9,3,train
user_0,0,I,68,256,user_0/action_0/user_0_action_0,user_0/action_0/user_0_action_0/segment_90,7,3,train
user_1,0,J,86,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_27,8,0,train
user_1,0,B,112,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_28,1,0,train
user_1,0,X,88,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_29,11,0,train
user_1,0,E,125,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_30,4,0,train
user_1,0,G,99,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_34,5,0,train
user_1,0,C,79,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_38,2,0,train
user_1,0,I,52,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_40,7,0,train
user_1,0,D,96,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_41,3,0,train
user_1,0,H,118,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_42,6,0,train
user_1,0,A,106,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_45,0,0,train
user_1,0,K,100,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_47,9,0,train
user_1,0,G,108,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_71,5,0,train
user_1,0,H,87,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_73,6,0,train
user_1,0,E,109,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_76,4,0,train
user_1,0,D,81,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_78,3,0,train
user_1,0,J,77,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_80,8,0,train
