,direction,A_raw_to_raw,B_raw_to_reconstruction,C_reconstruction_to_reconstruction,D_mixed_to_raw,D_mixed_to_reconstruction
CNN_test_balanced_accuracy,higher,0.4267676767676767,0.2234848484848484,0.5270863395863395,0.5552849927849928,0.5499037999037999
CNN_test_macro_f1,higher,0.3811699468133549,0.1668651085756348,0.5115983897898791,0.5615775018076151,0.5315672250454859
kNN_test_balanced_accuracy,higher,0.5919312169312169,0.3432239057239057,0.583483645983646,0.5528499278499278,0.6033549783549783
prototype_test_balanced_accuracy,higher,0.5585618085618085,0.3218795093795094,0.5650853775853776,0.5915704665704665,0.5894660894660895
linear_probe_test_balanced_accuracy,higher,0.5648749398749399,0.3644781144781145,0.6043169793169794,0.5270863395863395,0.5891654641654643
retrieval_macro_mAP,higher,0.4037842763375942,0.2573275921510067,0.33704701955011,0.4456628136339178,0.4677838158857817
retrieval_micro_mAP,higher,0.4138550115488761,0.2651785771587065,0.3477329820815703,0.4582573529813774,0.4786513850259234
SameLabel_macro_at_1,higher,0.4911014911014911,0.2847222222222222,0.5118446368446369,0.5263648388648389,0.566017316017316
SameLabel_micro_at_1,higher,0.5039370078740157,0.2992125984251969,0.5196850393700787,0.5354330708661418,0.5748031496062992
D_intra_macro,lower,0.0643855207945377,0.0537173634768755,0.0726715249053605,0.0605679204071284,0.0599021754946509
D_inter_centroids,context,0.0822460725903511,0.0525917448103427,0.093808501958847,0.083070307970047,0.0983878448605537
D_inter_over_D_intra,higher,1.277400129316826,0.9790455339827616,1.2908563853548158,1.371523199249526,1.6424753199104924
NMI_arithmetic,higher,0.5478299689448117,0.514941178214616,0.5283692463257397,0.6773046299181615,0.6275980069090364
ARI,higher,0.2657546556480067,0.239013682092045,0.2508429236382545,0.4121717241600445,0.4210099680865554
silhouette_macro,higher,0.06274794942422,-0.0290087784030002,0.0511911602235832,0.0891552769955938,0.1354828080229762
silhouette_micro,higher,0.0600952322772836,-0.0230044280949796,0.0453063796102733,0.097257496432613,0.1410311330753274
