segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,gravity_removal_method,gravity_low_pass_cutoff_hz,gravity_madgwick_beta,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_0,0,0,0,s,1720476256688618.0,1720476259240937.0,362,865,1720476256691266.0,1720476259190054.0,503,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
1,user_0,0,0,1,l,1720476259240937.0,1720476260694202.0,865,1167,1720476259253329.0,1720476260692441.0,302,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
2,user_0,0,0,2,t,1720476260694202.0,1720476262687873.0,1167,1567,1720476260755975.0,1720476262686876.0,400,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
3,user_0,0,0,3,f,1720476262687873.0,1720476264384004.0,1567,1909,1720476262702342.0,1720476264376747.0,342,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
4,user_0,0,0,4,j,1720476264384004.0,1720476265732384.0,1909,2171,1720476264392043.0,1720476265695503.0,262,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
5,user_0,0,0,5,b,1720476265732384.0,1720476267618418.0,2171,2553,1720476265757442.0,1720476267594346.0,382,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
6,user_0,0,0,6,x,1720476267618418.0,1720476269100509.0,2553,2848,1720476267658293.0,1720476269095154.0,295,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
7,user_0,0,0,7,e,1720476269100509.0,1720476270655328.0,2848,3155,1720476269109676.0,1720476270610733.0,307,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
8,user_0,0,0,8,u,1720476270655328.0,1720476272179883.0,3155,3471,1720476270673419.0,1720476272172930.0,316,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
9,user_0,0,0,9,n,1720476272179883.0,1720476273824072.0,3471,3798,1720476272187043.0,1720476273790047.0,327,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
10,user_0,0,0,10,m,1720476273824072.0,1720476275836691.0,3798,4200,1720476273850348.0,1720476275790140.0,402,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
11,user_0,0,0,11,g,1720476275836691.0,1720476278139774.0,4200,4662,1720476275867829.0,1720476278092236.0,462,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
12,user_0,0,0,12,z,1720476278139774.0,1720476279884013.0,4662,5023,1720476278170105.0,1720476279877293.0,361,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
13,user_0,0,0,13,y,1720476279884013.0,1720476281821967.0,5023,5405,1720476279892179.0,1720476281801964.0,382,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
14,user_0,0,0,14,r,1720476281821967.0,1720476283706714.0,5405,5787,1720476281864315.0,1720476283688122.0,382,low-pass,0.2,0.1,False,next_label_timestamp,data/user_0/0/0_ring_0.bin,data/user_0/0/0_timestamp.txt
