segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_11,0,0,6,x,1720736753704488.0,1720736758626410.0,12822,13802,1720736753762329.0,1720736758573422.0,980,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
1,user_11,0,0,7,e,1720736758626410.0,1720736763251252.0,13802,14745,1720736758627620.0,1720736763235767.0,943,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
2,user_11,0,0,8,u,1720736763251252.0,1720736767722793.0,14745,15645,1720736763327439.0,1720736767721712.0,900,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
3,user_11,0,0,10,m,1720736773082478.0,1720736777284990.0,16708,17549,1720736773084485.0,1720736777194901.0,841,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
4,user_11,0,0,11,g,1720736777284990.0,1720736781038664.0,17549,18310,1720736777287243.0,1720736780984827.0,761,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
5,user_11,0,0,12,z,1720736781038664.0,1720736784252243.0,18310,18952,1720736781078194.0,1720736784180551.0,642,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
6,user_11,0,0,13,y,1720736784252243.0,1720736787619717.0,18952,19633,1720736784259122.0,1720736787576443.0,681,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
7,user_11,0,0,14,r,1720736787619717.0,1720736791690344.0,19633,20454,1720736787654529.0,1720736791662188.0,821,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
8,user_11,0,0,15,c,1720736791690344.0,1720736794543279.0,20454,21028,1720736791739163.0,1720736794532157.0,574,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
9,user_11,0,0,16,o,1720736794543279.0,1720736798842267.0,21028,21897,1720736794545997.0,1720736798836750.0,869,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
10,user_11,0,0,18,d,1720736803969942.0,1720736808094663.0,22919,23740,1720736804006399.0,1720736808007093.0,821,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
11,user_11,0,0,19,h,1720736808094663.0,1720736811589556.0,23740,24454,1720736808098900.0,1720736811583721.0,714,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
12,user_11,0,0,20,w,1720736811589556.0,1720736815313063.0,24454,25203,1720736811598723.0,1720736815301651.0,749,False,next_label_timestamp,data/user_11/0/0_ring_0.bin,data/user_11/0/0_timestamp.txt
