segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,gravity_removal_method,gravity_low_pass_cutoff_hz,gravity_madgwick_beta,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_2,0,0,5,b,1720653498381945.0,1720653502319396.0,9443,10227,1720653498424727.0,1720653502276914.0,784,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
1,user_2,0,0,7,e,1720653508494735.0,1720653510821651.0,11466,11934,1720653508507079.0,1720653510794922.0,468,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
2,user_2,0,0,8,u,1720653510821651.0,1720653513193077.0,11934,12417,1720653510838615.0,1720653513185036.0,483,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
3,user_2,0,0,9,n,1720653513193077.0,1720653515488830.0,12417,12879,1720653513222497.0,1720653515475641.0,462,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
4,user_2,0,0,10,m,1720653515488830.0,1720653518157257.0,12879,13414,1720653515535060.0,1720653518147740.0,535,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
5,user_2,0,0,11,g,1720653518157257.0,1720653520541617.0,13414,13896,1720653518162560.0,1720653520539385.0,482,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
6,user_2,0,0,12,z,1720653520541617.0,1720653522321431.0,13896,14245,1720653520553677.0,1720653522294099.0,349,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
7,user_2,0,0,13,y,1720653522321431.0,1720653524662879.0,14245,14726,1720653522340604.0,1720653524654651.0,481,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
8,user_2,0,0,14,r,1720653524662879.0,1720653526835687.0,14726,15157,1720653524675769.0,1720653526834681.0,431,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
9,user_2,0,0,15,c,1720653526835687.0,1720653528958444.0,15157,15590,1720653526835687.0,1720653528948510.0,433,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
10,user_2,0,0,16,o,1720653528958444.0,1720653532318076.0,15590,16254,1720653528997007.0,1720653532285795.0,664,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
11,user_2,0,0,17,i,1720653532318076.0,1720653535818859.0,16254,16957,1720653532330379.0,1720653535777157.0,703,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
12,user_2,0,0,18,d,1720653535818859.0,1720653538781405.0,16957,17559,1720653535823277.0,1720653538777112.0,602,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
13,user_2,0,0,19,h,1720653538781405.0,1720653541472735.0,17559,18101,1720653538847027.0,1720653541471650.0,542,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
14,user_2,0,0,20,w,1720653541472735.0,1720653544233789.0,18101,18650,1720653541485174.0,1720653544222708.0,549,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
15,user_2,0,0,21,q,1720653544233789.0,1720653547377735.0,18650,19287,1720653544238515.0,1720653547377101.0,637,low-pass,0.2,0.1,False,next_label_timestamp,data/user_2/0/0_ring_0.bin,data/user_2/0/0_timestamp.txt
