segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_3,0,0,1,l,1720377547801336.0,1720377550809080.0,8941,9543,1720377547864036.0,1720377550781984.0,602,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
1,user_3,0,0,2,t,1720377550809080.0,1720377553536160.0,9543,10086,1720377550861215.0,1720377553499086.0,543,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
2,user_3,0,0,4,j,1720377558798664.0,1720377562124966.0,11150,11813,1720377558857293.0,1720377562088610.0,663,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
3,user_3,0,0,5,b,1720377562124966.0,1720377565026253.0,11813,12396,1720377562152109.0,1720377564997769.0,583,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
4,user_3,0,0,6,x,1720377565026253.0,1720377569488503.0,12396,13300,1720377565059255.0,1720377569481416.0,904,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
5,user_3,0,0,7,e,1720377569488503.0,1720377571530285.0,13300,13702,1720377569558554.0,1720377571478152.0,402,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
6,user_3,0,0,8,u,1720377571530285.0,1720377573937682.0,13702,14184,1720377571555286.0,1720377573916291.0,482,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
7,user_3,0,0,9,n,1720377573937682.0,1720377577402705.0,14184,14747,1720377573957010.0,1720377577386734.0,563,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
8,user_3,0,0,10,m,1720377577402705.0,1720377580180337.0,14747,15343,1720377577416801.0,1720377579716282.0,596,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
9,user_3,0,0,11,g,1720377580180337.0,1720377582954155.0,15343,15992,1720377580400915.0,1720377582937121.0,649,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
10,user_3,0,0,12,z,1720377582954155.0,1720377585971330.0,15992,16595,1720377582979239.0,1720377585963274.0,603,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
11,user_3,0,0,13,y,1720377585971330.0,1720377589424652.0,16595,17298,1720377585976368.0,1720377589379622.0,703,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
12,user_3,0,0,14,r,1720377589424652.0,1720377591741921.0,17298,17760,1720377589455471.0,1720377591705169.0,462,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
13,user_3,0,0,15,c,1720377591741921.0,1720377593819628.0,17760,18182,1720377591752499.0,1720377593798788.0,422,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
14,user_3,0,0,16,o,1720377593819628.0,1720377596660182.0,18182,18744,1720377593859560.0,1720377596647776.0,562,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
15,user_3,0,0,17,i,1720377596660182.0,1720377599612384.0,18744,19321,1720377596668022.0,1720377599604328.0,577,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
16,user_3,0,0,18,d,1720377599612384.0,1720377602742391.0,19321,19970,1720377599744082.0,1720377602692164.0,649,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
17,user_3,0,0,19,h,1720377602742391.0,1720377605591374.0,19970,20552,1720377602757779.0,1720377605589076.0,582,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
18,user_3,0,0,20,w,1720377605591374.0,1720377608739257.0,20552,21174,1720377605643280.0,1720377608682891.0,622,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
19,user_3,0,0,21,q,1720377608739257.0,1720377612197342.0,21174,21878,1720377608744192.0,1720377612174200.0,704,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
20,user_3,0,0,22,a,1720377612197342.0,1720377615216983.0,21878,22480,1720377612262116.0,1720377615203929.0,602,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
21,user_3,0,0,23,p,1720377615216983.0,1720377618926664.0,22480,23223,1720377615237799.0,1720377618906768.0,743,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
22,user_3,0,0,24,k,1720377618926664.0,1720377622726833.0,23223,23987,1720377618948171.0,1720377622683402.0,764,False,next_label_timestamp,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
23,user_3,0,0,25,v,1720377622726833.0,,23987,24437,1720377622737962.0,1720377624965737.0,450,True,ring_recording_end,data/user_3/0/0_ring_0.bin,data/user_3/0/0_timestamp.txt
24,user_3,0,1,0,S,1720377664725626.0,1720377668471693.0,643,1399,1720377664782652.0,1720377668469294.0,756,False,next_label_timestamp,data/user_3/0/1_ring_0.bin,data/user_3/0/1_timestamp.txt
25,user_3,0,1,1,L,1720377668471693.0,1720377670246540.0,1399,1748,1720377668483996.0,1720377670184359.0,349,False,next_label_timestamp,data/user_3/0/1_ring_0.bin,data/user_3/0/1_timestamp.txt
26,user_3,0,1,2,T,1720377670246540.0,1720377672049547.0,1748,2109,1720377670262502.0,1720377671977865.0,361,False,next_label_timestamp,data/user_3/0/1_ring_0.bin,data/user_3/0/1_timestamp.txt
