segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,gravity_removal_method,gravity_low_pass_cutoff_hz,gravity_madgwick_beta,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_13,0,0,3,f,1720566650155186.0,1720566653121479.0,7052,7654,1720566650162845.0,1720566653083872.0,602,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
1,user_13,0,0,4,j,1720566653121479.0,1720566655726791.0,7654,8176,1720566653151773.0,1720566655681496.0,522,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
2,user_13,0,0,5,b,1720566655726791.0,1720566657950676.0,8176,8619,1720566655748799.0,1720566657944200.0,443,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
3,user_13,0,0,7,e,1720566661039552.0,1720566663275890.0,9241,9691,1720566661048859.0,1720566663257841.0,450,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
4,user_13,0,0,8,u,1720566663275890.0,1720566665593452.0,9691,10166,1720566663288465.0,1720566665579046.0,475,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
5,user_13,0,0,9,n,1720566665593452.0,1720566667567527.0,10166,10548,1720566665654893.0,1720566667486399.0,382,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
6,user_13,0,0,10,m,1720566667567527.0,1720566669690438.0,10548,10989,1720566667579959.0,1720566669679357.0,441,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
7,user_13,0,0,11,g,1720566669690438.0,1720566671918389.0,10989,11430,1720566669744735.0,1720566671894438.0,441,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
8,user_13,0,0,12,z,1720566671918389.0,1720566674212347.0,11430,11894,1720566671951105.0,1720566674187631.0,464,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
9,user_13,0,0,13,y,1720566674212347.0,1720566676298572.0,11894,12309,1720566674264914.0,1720566676269380.0,415,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
10,user_13,0,0,14,r,1720566676298572.0,1720566678140390.0,12309,12676,1720566676299682.0,1720566678080405.0,367,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
11,user_13,0,0,15,c,1720566678140390.0,1720566680182703.0,12676,13098,1720566678149531.0,1720566680181698.0,422,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
12,user_13,0,0,16,o,1720566680182703.0,1720566682129844.0,13098,13481,1720566680196918.0,1720566682083248.0,383,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
13,user_13,0,0,17,i,1720566682129844.0,1720566684150490.0,13481,13882,1720566682162500.0,1720566684143715.0,401,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
14,user_13,0,0,18,d,1720566684150490.0,1720566685984575.0,13882,14264,1720566684153832.0,1720566685981783.0,382,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
15,user_13,0,0,19,h,1720566685984575.0,1720566687906196.0,14264,14645,1720566686060131.0,1720566687892401.0,381,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
16,user_13,0,0,20,w,1720566687906196.0,1720566689901481.0,14645,15046,1720566687949171.0,1720566689882278.0,401,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
17,user_13,0,0,21,q,1720566689901481.0,1720566692365824.0,15046,15537,1720566689949311.0,1720566692356888.0,491,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
18,user_13,0,0,23,p,1720566698051546.0,1720566700596439.0,16675,17197,1720566698058617.0,1720566700594878.0,522,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
19,user_13,0,0,24,k,1720566700596439.0,1720566703643890.0,17197,17800,1720566700656712.0,1720566703575812.0,603,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
20,user_13,0,0,25,v,1720566703643890.0,,17800,18261,1720566703654618.0,1720566705893194.0,461,low-pass,0.2,0.1,True,ring_recording_end,data/user_13/0/0_ring_0.bin,data/user_13/0/0_timestamp.txt
21,user_13,0,1,0,S,1720566745316887.0,1720566747819977.0,482,985,1720566745353067.0,1720566747786496.0,503,low-pass,0.2,0.1,False,next_label_timestamp,data/user_13/0/1_ring_0.bin,data/user_13/0/1_timestamp.txt
