segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,gravity_removal_method,gravity_low_pass_cutoff_hz,gravity_madgwick_beta,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_6,0,0,3,f,1720399668536176.0,1720399671170941.0,9891,10414,1720399668588258.0,1720399671148936.0,523,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
1,user_6,0,0,4,j,1720399671170941.0,1720399673231383.0,10414,10835,1720399671196658.0,1720399673229078.0,421,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
2,user_6,0,0,5,b,1720399673231383.0,1720399676078258.0,10835,11398,1720399673306728.0,1720399676032813.0,563,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
3,user_6,0,0,6,x,1720399676078258.0,1720399677836341.0,11398,11759,1720399676095228.0,1720399677833172.0,361,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
4,user_6,0,0,7,e,1720399677836341.0,1720399679413597.0,11759,12074,1720399677847075.0,1720399679405560.0,315,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
5,user_6,0,0,8,u,1720399679413597.0,1720399681278406.0,12074,12443,1720399679419737.0,1720399681230958.0,369,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
6,user_6,0,0,9,n,1720399681278406.0,1720399682963285.0,12443,12784,1720399681307028.0,1720399682941492.0,341,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
7,user_6,0,0,10,m,1720399682963285.0,1720399684839063.0,12784,13165,1720399683007739.0,1720399684825927.0,381,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
8,user_6,0,0,11,g,1720399684839063.0,1720399686717169.0,13165,13534,1720399684861435.0,1720399686711264.0,369,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
9,user_6,0,0,12,z,1720399686717169.0,1720399688557861.0,13534,13909,1720399686728079.0,1720399688541935.0,375,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
10,user_6,0,0,13,y,1720399688557861.0,1720399690550833.0,13909,14298,1720399688599730.0,1720399690539166.0,389,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
11,user_6,0,0,14,r,1720399690550833.0,1720399692150006.0,14298,14632,1720399690551993.0,1720399692131557.0,334,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
12,user_6,0,0,15,c,1720399692150006.0,1720399693629677.0,14632,14927,1720399692191972.0,1720399693627254.0,295,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
13,user_6,0,0,16,o,1720399693629677.0,1720399695277059.0,14927,15255,1720399693641085.0,1720399695234917.0,328,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
14,user_6,0,0,17,i,1720399695277059.0,1720399696994798.0,15255,15597,1720399695298074.0,1720399696934255.0,342,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
15,user_6,0,0,18,d,1720399696994798.0,1720399699370797.0,15597,16079,1720399696997861.0,1720399699338055.0,482,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
16,user_6,0,0,19,h,1720399699370797.0,1720399701018635.0,16079,16419,1720399699400717.0,1720399701010206.0,340,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
17,user_6,0,0,20,w,1720399701018635.0,1720399703208242.0,16419,16855,1720399701032745.0,1720399703207242.0,436,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
18,user_6,0,0,22,a,1720399709288400.0,1720399711114169.0,18068,18448,1720399709295299.0,1720399711112043.0,380,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
19,user_6,0,0,23,p,1720399711114169.0,1720399713312436.0,18448,18884,1720399711126150.0,1720399713310339.0,436,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
20,user_6,0,0,24,k,1720399713312436.0,1720399715641445.0,18884,19353,1720399713323912.0,1720399715638149.0,469,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
21,user_6,0,0,25,v,1720399715641445.0,,19353,19735,1720399715700493.0,1720399717526874.0,382,low-pass,0.2,0.1,True,ring_recording_end,data/user_6/0/0_ring_0.bin,data/user_6/0/0_timestamp.txt
22,user_6,0,1,0,S,1720399761353081.0,1720399763195060.0,824,1186,1720399761400487.0,1720399763144947.0,362,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
23,user_6,0,1,1,L,1720399763195060.0,1720399764608463.0,1186,1480,1720399763221647.0,1720399764600360.0,294,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
24,user_6,0,1,2,T,1720399764608463.0,1720399766241756.0,1480,1807,1720399764613865.0,1720399766215773.0,327,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
25,user_6,0,1,3,F,1720399766241756.0,1720399768589224.0,1807,2271,1720399766242757.0,1720399768542189.0,464,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
26,user_6,0,1,4,J,1720399768589224.0,1720399770019838.0,2271,2565,1720399768604324.0,1720399770005895.0,294,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
27,user_6,0,1,5,B,1720399770019838.0,1720399771841493.0,2565,2933,1720399770020840.0,1720399771836521.0,368,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
28,user_6,0,1,6,X,1720399771841493.0,1720399773344618.0,2933,3235,1720399771899086.0,1720399773339057.0,302,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
29,user_6,0,1,7,E,1720399773344618.0,1720399775126089.0,3235,3595,1720399773400619.0,1720399775118488.0,360,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
30,user_6,0,1,8,U,1720399775126089.0,1720399777043467.0,3595,3978,1720399775134084.0,1720399777035946.0,383,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
31,user_6,0,1,9,N,1720399777043467.0,1720399778900683.0,3978,4346,1720399777099057.0,1720399778898411.0,368,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
32,user_6,0,1,10,M,1720399778900683.0,1720399781270681.0,4346,4822,1720399778912079.0,1720399781262642.0,476,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
33,user_6,0,1,11,G,1720399781270681.0,1720399783429541.0,4822,5264,1720399781300914.0,1720399783424747.0,442,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
34,user_6,0,1,12,Z,1720399783429541.0,1720399784963719.0,5264,5565,1720399783500962.0,1720399784937859.0,301,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
35,user_6,0,1,13,Y,1720399784963719.0,1720399787070870.0,5565,5987,1720399785000015.0,1720399787026950.0,422,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
36,user_6,0,1,14,R,1720399787070870.0,1720399789224765.0,5987,6428,1720399787103932.0,1720399789222085.0,441,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
37,user_6,0,1,15,C,1720399789224765.0,1720399790719081.0,6428,6729,1720399789235400.0,1720399790717989.0,301,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
38,user_6,0,1,16,O,1720399790719081.0,1720399792533605.0,6729,7092,1720399790733099.0,1720399792524347.0,363,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
39,user_6,0,1,17,I,1720399792533605.0,1720399794239750.0,7092,7433,1720399792602053.0,1720399794237014.0,341,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
40,user_6,0,1,18,D,1720399794239750.0,1720399796189470.0,7433,7815,1720399794299392.0,1720399796129891.0,382,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
41,user_6,0,1,19,H,1720399796189470.0,1720399798181067.0,7815,8217,1720399796209115.0,1720399798132382.0,402,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
42,user_6,0,1,20,W,1720399798181067.0,1720399799929792.0,8217,8578,1720399798208493.0,1720399799921885.0,361,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
43,user_6,0,1,21,Q,1720399799929792.0,1720399802068730.0,8578,9000,1720399799935725.0,1720399802032438.0,422,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
44,user_6,0,1,22,A,1720399802068730.0,1720399804277962.0,9000,9442,1720399802101919.0,1720399804226338.0,442,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
45,user_6,0,1,23,P,1720399804277962.0,1720399806108084.0,9442,9817,1720399804304220.0,1720399806101103.0,375,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
46,user_6,0,1,24,K,1720399806108084.0,1720399807918977.0,9817,10185,1720399806117999.0,1720399807915171.0,368,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
47,user_6,0,1,25,V,1720399807918977.0,,10185,10447,1720399807929150.0,1720399809225690.0,262,low-pass,0.2,0.1,True,ring_recording_end,data/user_6/0/1_ring_0.bin,data/user_6/0/1_timestamp.txt
48,user_6,0,2,0,v,1720399837792988.0,1720399839374038.0,228,550,1720399837809739.0,1720399839353480.0,322,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/2_ring_0.bin,data/user_6/0/2_timestamp.txt
49,user_6,0,2,1,x,1720399839374038.0,1720399840530212.0,550,785,1720399839401162.0,1720399840525363.0,235,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/2_ring_0.bin,data/user_6/0/2_timestamp.txt
50,user_6,0,2,2,t,1720399840530212.0,1720399841754076.0,785,1032,1720399840539619.0,1720399841739379.0,247,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/2_ring_0.bin,data/user_6/0/2_timestamp.txt
51,user_6,0,2,3,w,1720399841754076.0,1720399843060903.0,1032,1293,1720399841801755.0,1720399843050302.0,261,low-pass,0.2,0.1,False,next_label_timestamp,data/user_6/0/2_ring_0.bin,data/user_6/0/2_timestamp.txt
