segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_14,0,0,3,f,1720548448871771.0,1720548452092541.0,9904,10547,1720548448911379.0,1720548452072116.0,643,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
1,user_14,0,0,4,j,1720548452092541.0,1720548455117077.0,10547,11150,1720548452111667.0,1720548455062734.0,603,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
2,user_14,0,0,5,b,1720548455117077.0,1720548457547023.0,11150,11651,1720548455137709.0,1720548457544943.0,501,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
3,user_14,0,0,6,x,1720548457547023.0,1720548460471321.0,11651,12234,1720548457560308.0,1720548460459478.0,583,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
4,user_14,0,0,7,e,1720548460471321.0,1720548462978030.0,12234,12737,1720548460522479.0,1720548462953062.0,503,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
5,user_14,0,0,8,u,1720548462978030.0,1720548466026627.0,12737,13339,1720548463014193.0,1720548465952614.0,602,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
6,user_14,0,0,9,n,1720548466026627.0,1720548469412390.0,13339,14022,1720548466029865.0,1720548469362084.0,683,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
7,user_14,0,0,10,m,1720548469412390.0,1720548472227044.0,14022,14585,1720548469416952.0,1720548472166316.0,563,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
8,user_14,0,0,12,z,1720548481001648.0,1720548484154156.0,16352,16994,1720548481012572.0,1720548484152034.0,642,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
9,user_14,0,0,13,y,1720548484154156.0,1720548486790418.0,16994,17518,1720548484167618.0,1720548486761823.0,524,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
10,user_14,0,0,14,r,1720548486790418.0,1720548489324177.0,17518,18020,1720548486824238.0,1720548489264691.0,502,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
11,user_14,0,0,15,c,1720548489324177.0,1720548491171847.0,18020,18402,1720548489326502.0,1720548491161771.0,382,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
12,user_14,0,0,16,o,1720548491171847.0,1720548493053099.0,18402,18776,1720548491223686.0,1720548493041335.0,374,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
13,user_14,0,0,17,i,1720548493053099.0,1720548495327947.0,18776,19231,1720548493055275.0,1720548495314513.0,455,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
14,user_14,0,0,18,d,1720548495327947.0,1720548497603643.0,19231,19687,1720548495330312.0,1720548497553067.0,456,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
15,user_14,0,0,19,h,1720548497603643.0,1720548499833279.0,19687,20142,1720548497614627.0,1720548499832208.0,455,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
16,user_14,0,0,20,w,1720548499833279.0,1720548501954040.0,20142,20570,1720548499846069.0,1720548501944001.0,428,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
17,user_14,0,0,21,q,1720548501954040.0,1720548504202044.0,20570,21013,1720548501959844.0,1720548504163325.0,443,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
18,user_14,0,0,22,a,1720548504202044.0,1720548506296527.0,21013,21435,1720548504227230.0,1720548506262035.0,422,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
19,user_14,0,0,23,p,1720548506296527.0,1720548508399693.0,21435,21857,1720548506323603.0,1720548508357332.0,422,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
20,user_14,0,0,24,k,1720548508399693.0,1720548511085785.0,21857,22399,1720548508419864.0,1720548511064540.0,542,False,next_label_timestamp,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
21,user_14,0,0,25,v,1720548511085785.0,,22399,22781,1720548511126135.0,1720548512957589.0,382,True,ring_recording_end,data/user_14/0/0_ring_0.bin,data/user_14/0/0_timestamp.txt
22,user_14,0,1,0,S,1720548547328257.0,1720548550267828.0,515,1112,1720548547341657.0,1720548550254485.0,597,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
23,user_14,0,1,1,L,1720548550267828.0,1720548552503484.0,1112,1554,1720548550317386.0,1720548552459937.0,442,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
24,user_14,0,1,2,T,1720548552503484.0,1720548554954312.0,1554,2055,1720548552521648.0,1720548554950054.0,501,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
25,user_14,0,1,3,F,1720548554954312.0,1720548558080218.0,2055,2679,1720548554964360.0,1720548558056379.0,624,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
26,user_14,0,1,4,J,1720548558080218.0,1720548560762788.0,2679,3221,1720548558118348.0,1720548560754295.0,542,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
27,user_14,0,1,5,B,1720548560762788.0,1720548563549925.0,3221,3783,1720548560847190.0,1720548563543404.0,562,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
28,user_14,0,1,6,X,1720548563549925.0,1720548565682309.0,3783,4206,1720548563558498.0,1720548565656751.0,423,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
29,user_14,0,1,7,E,1720548565682309.0,1720548568656614.0,4206,4807,1720548565732581.0,1720548568649685.0,601,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
30,user_14,0,1,8,U,1720548568656614.0,1720548570547387.0,4807,5183,1720548568664457.0,1720548570536221.0,376,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
31,user_14,0,1,9,N,1720548570547387.0,1720548573012717.0,5183,5672,1720548570550639.0,1720548572977666.0,489,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
32,user_14,0,1,10,M,1720548573012717.0,1720548575686796.0,5672,6214,1720548573024300.0,1720548575668908.0,542,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
33,user_14,0,1,11,G,1720548575686796.0,1720548577809200.0,6214,6636,1720548575714217.0,1720548577760541.0,422,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
34,user_14,0,1,12,Z,1720548577809200.0,1720548580195060.0,6636,7118,1720548577822800.0,1720548580164101.0,482,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
35,user_14,0,1,13,Y,1720548580195060.0,1720548582610525.0,7118,7601,1720548580209926.0,1720548582560324.0,483,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
36,user_14,0,1,14,R,1720548582610525.0,1720548585179556.0,7601,8123,1720548582622461.0,1720548585160068.0,522,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
37,user_14,0,1,15,C,1720548585179556.0,1720548586949187.0,8123,8483,1720548585220799.0,1720548586940002.0,360,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
38,user_14,0,1,16,O,1720548586949187.0,1720548589038257.0,8483,8899,1720548586954889.0,1720548589030125.0,416,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
39,user_14,0,1,17,I,1720548589038257.0,1720548590531458.0,8899,9201,1720548589046250.0,1720548590525983.0,302,False,next_label_timestamp,data/user_14/0/1_ring_0.bin,data/user_14/0/1_timestamp.txt
