segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_15,0,0,3,f,1720571400843707.0,1720571403696461.0,8603,9179,1720571400845967.0,1720571403692210.0,576,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
1,user_15,0,0,4,j,1720571403696461.0,1720571406499485.0,9179,9742,1720571403732830.0,1720571406447713.0,563,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
2,user_15,0,0,5,b,1720571406499485.0,1720571409405985.0,9742,10324,1720571406524804.0,1720571409383899.0,582,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
3,user_15,0,0,7,e,1720571414827090.0,1720571417186949.0,11409,11890,1720571414833076.0,1720571417155859.0,481,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
4,user_15,0,0,8,u,1720571417186949.0,1720571419333629.0,11890,12319,1720571417192165.0,1720571419320935.0,429,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
5,user_15,0,0,9,n,1720571419333629.0,1720571421892974.0,12319,12836,1720571419335849.0,1720571421891862.0,517,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
6,user_15,0,0,10,m,1720571421892974.0,1720571424756698.0,12836,13411,1720571421939556.0,1720571424746661.0,575,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
7,user_15,0,0,11,g,1720571424756698.0,1720571427542535.0,13411,13967,1720571424767858.0,1720571427528105.0,556,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
8,user_15,0,0,12,z,1720571427542535.0,1720571430295493.0,13967,14523,1720571427543633.0,1720571430284225.0,556,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
9,user_15,0,0,13,y,1720571430295493.0,1720571432738601.0,14523,15011,1720571430331386.0,1720571432737519.0,488,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
10,user_15,0,0,14,r,1720571432738601.0,1720571434675581.0,15011,15406,1720571432753516.0,1720571434645938.0,395,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
11,user_15,0,0,15,c,1720571434675581.0,1720571436275079.0,15406,15728,1720571434691662.0,1720571436273027.0,322,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
12,user_15,0,0,16,o,1720571436275079.0,1720571438479587.0,15728,16170,1720571436301126.0,1720571438452686.0,442,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
13,user_15,0,0,17,i,1720571438479587.0,1720571440549689.0,16170,16579,1720571438485035.0,1720571440536382.0,409,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
14,user_15,0,0,18,d,1720571440549689.0,1720571442909066.0,16579,17055,1720571440552519.0,1720571442883574.0,476,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
15,user_15,0,0,19,h,1720571442909066.0,1720571445271652.0,17055,17536,1720571442930611.0,1720571445262610.0,481,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
16,user_15,0,0,20,w,1720571445271652.0,1720571447666877.0,17536,18018,1720571445283562.0,1720571447663139.0,482,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
17,user_15,0,0,21,q,1720571447666877.0,1720571449667384.0,18018,18420,1720571447694167.0,1720571449659384.0,402,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
18,user_15,0,0,22,a,1720571449667384.0,1720571451994734.0,18420,18882,1720571449702146.0,1720571451959141.0,462,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
19,user_15,0,0,23,p,1720571451994734.0,1720571454549755.0,18882,19398,1720571452004046.0,1720571454545714.0,516,False,next_label_timestamp,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
20,user_15,0,0,25,v,1720571458291634.0,,20147,20490,1720571458318716.0,1720571459984565.0,343,True,ring_recording_end,data/user_15/0/0_ring_0.bin,data/user_15/0/0_timestamp.txt
21,user_15,0,1,0,S,1720571497333413.0,1720571500020890.0,1459,1996,1720571497348862.0,1720571499958605.0,537,False,next_label_timestamp,data/user_15/0/1_ring_0.bin,data/user_15/0/1_timestamp.txt
22,user_15,0,1,1,L,1720571500020890.0,1720571501737456.0,1996,2350,1720571500023058.0,1720571501734325.0,354,False,next_label_timestamp,data/user_15/0/1_ring_0.bin,data/user_15/0/1_timestamp.txt
23,user_15,0,1,2,T,1720571501737456.0,1720571503621364.0,2350,2719,1720571501748994.0,1720571503601675.0,369,False,next_label_timestamp,data/user_15/0/1_ring_0.bin,data/user_15/0/1_timestamp.txt
24,user_15,0,1,3,F,1720571503621364.0,1720571506098774.0,2719,3221,1720571503633911.0,1720571506084132.0,502,False,next_label_timestamp,data/user_15/0/1_ring_0.bin,data/user_15/0/1_timestamp.txt
25,user_15,0,1,4,J,1720571506098774.0,1720571508039624.0,3221,3609,1720571506123087.0,1720571508032204.0,388,False,next_label_timestamp,data/user_15/0/1_ring_0.bin,data/user_15/0/1_timestamp.txt
26,user_15,0,1,5,B,1720571508039624.0,1720571510820984.0,3609,4166,1720571508047659.0,1720571510756048.0,557,False,next_label_timestamp,data/user_15/0/1_ring_0.bin,data/user_15/0/1_timestamp.txt
27,user_15,0,1,6,X,1720571510820984.0,1720571512935961.0,4166,4593,1720571510834239.0,1720571512933967.0,427,False,next_label_timestamp,data/user_15/0/1_ring_0.bin,data/user_15/0/1_timestamp.txt
28,user_15,0,1,7,E,1720571512935961.0,1720571515873077.0,4593,5183,1720571512948489.0,1720571515867185.0,590,False,next_label_timestamp,data/user_15/0/1_ring_0.bin,data/user_15/0/1_timestamp.txt
29,user_15,0,1,8,U,1720571515873077.0,1720571517579911.0,5183,5526,1720571515882218.0,1720571517569688.0,343,False,next_label_timestamp,data/user_15/0/1_ring_0.bin,data/user_15/0/1_timestamp.txt
30,user_15,0,1,9,N,1720571517579911.0,1720571520284681.0,5526,6073,1720571517587738.0,1720571520259301.0,547,False,next_label_timestamp,data/user_15/0/1_ring_0.bin,data/user_15/0/1_timestamp.txt
31,user_15,0,1,10,M,1720571520284681.0,1720571523117340.0,6073,6637,1720571520302163.0,1720571523101008.0,564,False,next_label_timestamp,data/user_15/0/1_ring_0.bin,data/user_15/0/1_timestamp.txt
