segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_5,0,0,0,s,1720312186741982.0,1720312191620521.0,6060,7032,1720312186753386.0,1720312191594516.0,972,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
1,user_5,0,0,2,t,1720312207308493.0,1720312211757410.0,10186,11089,1720312207331176.0,1720312211754311.0,903,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
2,user_5,0,0,3,f,1720312211757410.0,1720312215164304.0,11089,11772,1720312211778660.0,1720312215145706.0,683,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
3,user_5,0,0,4,j,1720312215164304.0,1720312218557047.0,11772,12442,1720312215223357.0,1720312218549636.0,670,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
4,user_5,0,0,5,b,1720312218557047.0,1720312221112609.0,12442,12958,1720312218565569.0,1720312221098463.0,516,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
5,user_5,0,0,6,x,1720312221112609.0,1720312224241717.0,12958,13600,1720312221141589.0,1720312224238984.0,642,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
6,user_5,0,0,7,e,1720312224241717.0,1720312226270794.0,13600,14002,1720312224250970.0,1720312226259167.0,402,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
7,user_5,0,0,8,u,1720312226270794.0,1720312228832757.0,14002,14505,1720312226274066.0,1720312228788945.0,503,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
8,user_5,0,0,9,n,1720312228832757.0,1720312231151052.0,14505,14986,1720312228837329.0,1720312231142990.0,481,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
9,user_5,0,0,10,m,1720312231151052.0,1720312233636065.0,14986,15475,1720312231200073.0,1720312233632871.0,489,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
10,user_5,0,0,11,g,1720312233636065.0,1720312236060729.0,15475,15965,1720312233647721.0,1720312236056982.0,490,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
11,user_5,0,0,12,z,1720312236060729.0,1720312239248969.0,15965,16613,1720312236069563.0,1720312239241306.0,648,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
12,user_5,0,0,13,y,1720312239248969.0,1720312241382825.0,16613,17036,1720312239253791.0,1720312241380162.0,423,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
13,user_5,0,0,14,r,1720312241382825.0,1720312243993001.0,17036,17559,1720312241440526.0,1720312243954531.0,523,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
14,user_5,0,0,15,c,1720312243993001.0,1720312245758175.0,17559,17919,1720312244032793.0,1720312245754188.0,360,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
15,user_5,0,0,16,o,1720312245758175.0,1720312247844082.0,17919,18322,1720312245770223.0,1720312247799648.0,403,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
16,user_5,0,0,17,i,1720312247844082.0,1720312250495820.0,18322,18863,1720312247845272.0,1720312250452549.0,541,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
17,user_5,0,0,18,d,1720312250495820.0,1720312252640210.0,18863,19286,1720312250499010.0,1720312252552621.0,423,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
18,user_5,0,0,19,h,1720312252640210.0,1720312254959276.0,19286,19767,1720312252647426.0,1720312254955010.0,481,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
19,user_5,0,0,20,w,1720312254959276.0,1720312256907349.0,19767,20150,1720312254989606.0,1720312256859151.0,383,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
20,user_5,0,0,21,q,1720312256907349.0,1720312258987874.0,20150,20571,1720312256937465.0,1720312258964393.0,421,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
21,user_5,0,0,22,a,1720312258987874.0,1720312260995090.0,20571,20974,1720312258998954.0,1720312260958799.0,403,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
22,user_5,0,0,23,p,1720312260995090.0,1720312263365435.0,20974,21455,1720312261036239.0,1720312263353281.0,481,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
23,user_5,0,0,24,k,1720312263365435.0,1720312265745186.0,21455,21918,1720312263368604.0,1720312265698413.0,463,False,next_label_timestamp,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
24,user_5,0,0,25,v,1720312265745186.0,,21918,22340,1720312265754533.0,1720312267770559.0,422,True,ring_recording_end,data/user_5/0/0_ring_0.bin,data/user_5/0/0_timestamp.txt
25,user_5,0,1,0,S,1720312301781473.0,1720312304116339.0,743,1205,1720312301832792.0,1720312304052288.0,462,False,next_label_timestamp,data/user_5/0/1_ring_0.bin,data/user_5/0/1_timestamp.txt
26,user_5,0,1,1,L,1720312304116339.0,1720312306495715.0,1205,1687,1720312304130289.0,1720312306474709.0,482,False,next_label_timestamp,data/user_5/0/1_ring_0.bin,data/user_5/0/1_timestamp.txt
27,user_5,0,1,2,T,1720312306495715.0,1720312308739056.0,1687,2135,1720312306537901.0,1720312308727565.0,448,False,next_label_timestamp,data/user_5/0/1_ring_0.bin,data/user_5/0/1_timestamp.txt
28,user_5,0,1,3,F,1720312308739056.0,1720312311226471.0,2135,2631,1720312308741693.0,1720312311170715.0,496,False,next_label_timestamp,data/user_5/0/1_ring_0.bin,data/user_5/0/1_timestamp.txt
29,user_5,0,1,4,J,1720312311226471.0,1720312313902035.0,2631,3174,1720312311231557.0,1720312313851340.0,543,False,next_label_timestamp,data/user_5/0/1_ring_0.bin,data/user_5/0/1_timestamp.txt
30,user_5,0,1,5,B,1720312313902035.0,1720312316247137.0,3174,3636,1720312313928550.0,1720312316234756.0,462,False,next_label_timestamp,data/user_5/0/1_ring_0.bin,data/user_5/0/1_timestamp.txt
31,user_5,0,1,6,X,1720312316247137.0,1720312318577105.0,3636,4118,1720312316254084.0,1720312318570718.0,482,False,next_label_timestamp,data/user_5/0/1_ring_0.bin,data/user_5/0/1_timestamp.txt
32,user_5,0,1,8,U,1720312326842185.0,1720312328592112.0,5765,6127,1720312326847070.0,1720312328556055.0,362,False,next_label_timestamp,data/user_5/0/1_ring_0.bin,data/user_5/0/1_timestamp.txt
33,user_5,0,1,9,N,1720312328592112.0,1720312330906306.0,6127,6589,1720312328633372.0,1720312330879549.0,462,False,next_label_timestamp,data/user_5/0/1_ring_0.bin,data/user_5/0/1_timestamp.txt
34,user_5,0,1,10,M,1720312330906306.0,1720312333443887.0,6589,7102,1720312330941855.0,1720312333443806.0,513,False,next_label_timestamp,data/user_5/0/1_ring_0.bin,data/user_5/0/1_timestamp.txt
35,user_5,0,1,11,G,1720312333443887.0,1720312335834564.0,7102,7579,1720312333443887.0,1720312335833567.0,477,False,next_label_timestamp,data/user_5/0/1_ring_0.bin,data/user_5/0/1_timestamp.txt
36,user_5,0,1,12,Z,1720312335834564.0,1720312337941964.0,7579,8008,1720312335848369.0,1720312337940874.0,429,False,next_label_timestamp,data/user_5/0/1_ring_0.bin,data/user_5/0/1_timestamp.txt
