segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_16,0,0,3,f,1720486520615431.0,1720486524087916.0,5196,5887,1720486520629067.0,1720486524044216.0,691,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
1,user_16,0,0,4,j,1720486524087916.0,1720486527331290.0,5887,6542,1720486524106070.0,1720486527320145.0,655,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
2,user_16,0,0,5,b,1720486527331290.0,1720486530229474.0,6542,7125,1720486527334294.0,1720486530214286.0,583,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
3,user_16,0,0,6,x,1720486530229474.0,1720486532576652.0,7125,7594,1720486530231093.0,1720486532535690.0,469,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
4,user_16,0,0,7,e,1720486532576652.0,1720486535271366.0,7594,8137,1720486532606688.0,1720486535237366.0,543,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
5,user_16,0,0,8,u,1720486535271366.0,1720486537324081.0,8137,8557,1720486535312856.0,1720486537319366.0,420,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
6,user_16,0,0,9,n,1720486537324081.0,1720486539308529.0,8557,8953,1720486537335474.0,1720486539304171.0,396,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
7,user_16,0,0,11,g,1720486550129783.0,1720486552616681.0,11130,11625,1720486550205971.0,1720486552610322.0,495,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
8,user_16,0,0,12,z,1720486552616681.0,1720486554658884.0,11625,12034,1720486552625564.0,1720486554646294.0,409,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
9,user_16,0,0,13,y,1720486554658884.0,1720486557032919.0,12034,12503,1720486554704041.0,1720486557031406.0,469,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
10,user_16,0,0,14,r,1720486557032919.0,1720486558978319.0,12503,12898,1720486557045702.0,1720486558938958.0,395,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
11,user_16,0,0,15,c,1720486558978319.0,1720486560619635.0,12898,13225,1720486559001504.0,1720486560606490.0,327,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
12,user_16,0,0,16,o,1720486560619635.0,1720486562847897.0,13225,13681,1720486560621639.0,1720486562844666.0,456,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
13,user_16,0,0,17,i,1720486562847897.0,1720486564879813.0,13681,14083,1720486562894736.0,1720486564847294.0,402,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
14,user_16,0,0,18,d,1720486564879813.0,1720486566934738.0,14083,14492,1720486564894531.0,1720486566922671.0,409,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
15,user_16,0,0,19,h,1720486566934738.0,1720486568990363.0,14492,14907,1720486566936874.0,1720486568937042.0,415,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
16,user_16,0,0,20,w,1720486568990363.0,1720486571029954.0,14907,15328,1720486569023888.0,1720486571021527.0,421,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
17,user_16,0,0,21,q,1720486571029954.0,1720486572979334.0,15328,15710,1720486571054377.0,1720486572946871.0,382,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
18,user_16,0,0,22,a,1720486572979334.0,1720486575183384.0,15710,16152,1720486572997199.0,1720486575140854.0,442,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
19,user_16,0,0,23,p,1720486575183384.0,1720486577221967.0,16152,16573,1720486575218469.0,1720486577218739.0,421,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
20,user_16,0,0,24,k,1720486577221967.0,1720486579108438.0,16573,16942,1720486577247892.0,1720486579093959.0,369,False,next_label_timestamp,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
21,user_16,0,0,25,v,1720486579108438.0,,16942,17337,1720486579109601.0,1720486581030685.0,395,True,ring_recording_end,data/user_16/0/0_ring_0.bin,data/user_16/0/0_timestamp.txt
22,user_16,0,1,0,S,1720486608390272.0,1720486610698028.0,617,1079,1720486608397288.0,1720486610676859.0,462,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
23,user_16,0,1,1,L,1720486610698028.0,1720486612045351.0,1079,1359,1720486610706352.0,1720486612024870.0,280,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
24,user_16,0,1,2,T,1720486612045351.0,1720486613821903.0,1359,1715,1720486612048558.0,1720486613815560.0,356,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
25,user_16,0,1,3,F,1720486613821903.0,1720486615967496.0,1715,2144,1720486613829066.0,1720486615946308.0,429,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
26,user_16,0,1,4,J,1720486615967496.0,1720486618594702.0,2144,2666,1720486616003411.0,1720486618547058.0,522,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
27,user_16,0,1,5,B,1720486618594702.0,1720486620704801.0,2666,3088,1720486618623212.0,1720486620646083.0,422,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
28,user_16,0,1,6,X,1720486620704801.0,1720486622184792.0,3088,3390,1720486620706931.0,1720486622162106.0,302,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
29,user_16,0,1,7,E,1720486622184792.0,1720486624284619.0,3390,3811,1720486622208811.0,1720486624255588.0,421,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
30,user_16,0,1,8,U,1720486624284619.0,1720486625757761.0,3811,4113,1720486624318527.0,1720486625746376.0,302,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
31,user_16,0,1,9,N,1720486625757761.0,1720486627493385.0,4113,4454,1720486625806449.0,1720486627456747.0,341,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
32,user_16,0,1,10,M,1720486627493385.0,1720486629210394.0,4454,4809,1720486627513569.0,1720486629205021.0,355,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
33,user_16,0,1,11,G,1720486629210394.0,1720486631048950.0,4809,5163,1720486629219004.0,1720486631024572.0,354,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
34,user_16,0,1,12,Z,1720486631048950.0,1720486632495794.0,5163,5465,1720486631052236.0,1720486632495621.0,302,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
35,user_16,0,1,13,Y,1720486632495794.0,1720486634285243.0,5465,5820,1720486632510243.0,1720486634253836.0,355,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
36,user_16,0,1,14,R,1720486634285243.0,1720486636113567.0,5820,6195,1720486634301272.0,1720486636112066.0,375,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
37,user_16,0,1,15,C,1720486636113567.0,1720486637311771.0,6195,6429,1720486636126763.0,1720486637299474.0,234,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
38,user_16,0,1,16,O,1720486637311771.0,1720486638689212.0,6429,6704,1720486637315494.0,1720486638647244.0,275,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
39,user_16,0,1,17,I,1720486638689212.0,1720486640979672.0,6704,7166,1720486638710417.0,1720486640946919.0,462,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
40,user_16,0,1,18,D,1720486640979672.0,1720486642654487.0,7166,7508,1720486641008525.0,1720486642652936.0,342,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
41,user_16,0,1,19,H,1720486642654487.0,1720486644331458.0,7508,7849,1720486642700242.0,1720486644323158.0,341,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
42,user_16,0,1,20,W,1720486644331458.0,1720486645803943.0,7849,8131,1720486644356217.0,1720486645746526.0,282,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
43,user_16,0,1,21,Q,1720486645803943.0,1720486648491193.0,8131,8673,1720486645805161.0,1720486648446379.0,542,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
44,user_16,0,1,22,A,1720486648491193.0,1720486650870415.0,8673,9155,1720486648501296.0,1720486650859763.0,482,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
45,user_16,0,1,23,P,1720486650870415.0,1720486652798265.0,9155,9537,1720486650905775.0,1720486652757343.0,382,False,next_label_timestamp,data/user_16/0/1_ring_0.bin,data/user_16/0/1_timestamp.txt
